timestamp,latitude,longitude
2026/02/27 11:34:21.000+00,-25.383909,-51.4870376
2026/02/27 11:34:22.000+00,-25.3841121,-51.4871047
2026/02/27 11:34:24.000+00,-25.3840052,-51.4951021
2026/02/27 11:34:29.000+00,-25.3840063,-51.495107
2026/02/27 11:34:34.000+00,-25.3840059,-51.4951072
2026/02/27 11:34:39.000+00,-25.3840058,-51.4951074
2026/02/27 11:34:44.000+00,-25.3840484,-51.4951283
2026/02/27 11:34:49.000+00,-25.3840812,-51.4951517
2026/02/27 11:34:53.000+00,-25.3840887,-51.495167
2026/02/27 11:34:57.000+00,-25.3841235,-51.4951767
2026/02/27 11:35:01.000+00,-25.3841603,-51.4951842
2026/02/27 11:35:06.000+00,-25.3841878,-51.4952047
2026/02/27 11:35:10.000+00,-25.3842222,-51.4952265
2026/02/27 11:35:15.000+00,-25.3842472,-51.4952454
2026/02/27 11:35:19.000+00,-25.3842782,-51.4952722
2026/02/27 11:35:23.000+00,-25.3843094,-51.4952975
2026/02/27 11:35:28.000+00,-25.3843441,-51.4953197
2026/02/27 11:35:29.000+00,-25.3843584,-51.4953326
2026/02/27 11:35:34.000+00,-25.384397,-51.4953554
2026/02/27 11:35:38.000+00,-25.3844399,-51.4953626
2026/02/27 11:35:43.000+00,-25.3844745,-51.4953807
2026/02/27 11:35:45.000+00,-25.3844792,-51.4954002
2026/02/27 11:35:49.000+00,-25.3845262,-51.4954119
2026/02/27 11:35:53.000+00,-25.3845689,-51.4954275
2026/02/27 11:35:57.000+00,-25.3846139,-51.4954327
2026/02/27 11:36:02.000+00,-25.3846533,-51.4954595
2026/02/27 11:36:06.000+00,-25.3846934,-51.4954782
2026/02/27 11:36:10.000+00,-25.3847338,-51.4955071
2026/02/27 11:36:15.000+00,-25.3847721,-51.4955325
2026/02/27 11:36:19.000+00,-25.3847977,-51.4955606
2026/02/27 11:36:23.000+00,-25.3848319,-51.4955789
2026/02/27 11:36:26.000+00,-25.3848512,-51.4955829
2026/02/27 11:36:30.000+00,-25.3848635,-51.4955861
2026/02/27 11:36:34.000+00,-25.3848748,-51.4955863
2026/02/27 11:36:39.000+00,-25.3849152,-51.4956006
2026/02/27 11:36:43.000+00,-25.3849527,-51.49561
2026/02/27 11:36:46.000+00,-25.384981,-51.4956291
2026/02/27 11:36:50.000+00,-25.3850054,-51.4956661
2026/02/27 11:36:54.000+00,-25.3850435,-51.4956857
2026/02/27 11:36:59.000+00,-25.3850732,-51.4957203
2026/02/27 11:37:01.000+00,-25.3850807,-51.4957321
2026/02/27 11:37:05.000+00,-25.3851137,-51.4957548
2026/02/27 11:37:09.000+00,-25.3851521,-51.4957712
2026/02/27 11:37:13.000+00,-25.3851891,-51.4957864
2026/02/27 11:37:16.000+00,-25.3852049,-51.4958139
2026/02/27 11:37:21.000+00,-25.3852333,-51.4958359
2026/02/27 11:37:25.000+00,-25.3852632,-51.4958563
2026/02/27 11:37:29.000+00,-25.3853006,-51.4958724
2026/02/27 11:37:33.000+00,-25.3853315,-51.4958782
2026/02/27 11:37:37.000+00,-25.3853727,-51.4958929
2026/02/27 11:37:41.000+00,-25.3854067,-51.4959226
2026/02/27 11:37:46.000+00,-25.3854438,-51.4959484
2026/02/27 11:37:47.000+00,-25.3854479,-51.4959545
2026/02/27 11:37:52.000+00,-25.3854501,-51.4959815
2026/02/27 11:37:56.000+00,-25.3854296,-51.4960319
2026/02/27 11:38:00.000+00,-25.3853938,-51.4960562
2026/02/27 11:38:03.000+00,-25.3853917,-51.4960935
2026/02/27 11:38:07.000+00,-25.3853849,-51.4961452
2026/02/27 11:38:12.000+00,-25.3853569,-51.496177
2026/02/27 11:38:17.000+00,-25.3853482,-51.4962199
2026/02/27 11:38:18.000+00,-25.3853528,-51.4962391
2026/02/27 11:38:22.000+00,-25.3853381,-51.4962918
2026/02/27 11:38:26.000+00,-25.3853169,-51.4963189
2026/02/27 11:38:31.000+00,-25.3853335,-51.4963212
2026/02/27 11:38:35.000+00,-25.3853657,-51.4963161
2026/02/27 11:38:40.000+00,-25.3853823,-51.4963381
2026/02/27 11:38:44.000+00,-25.3853954,-51.496333
2026/02/27 11:38:49.000+00,-25.3854066,-51.4963396
2026/02/27 11:38:53.000+00,-25.3854134,-51.4963441
2026/02/27 11:38:58.000+00,-25.385417,-51.4963499
2026/02/27 11:39:01.000+00,-25.385434,-51.4963596
2026/02/27 11:39:06.000+00,-25.3854686,-51.4963775
2026/02/27 11:39:10.000+00,-25.3854994,-51.496406
2026/02/27 11:39:14.000+00,-25.385524,-51.4964268
2026/02/27 11:39:19.000+00,-25.3855559,-51.4964259
2026/02/27 11:39:24.000+00,-25.3855887,-51.4964335
2026/02/27 11:39:28.000+00,-25.3856228,-51.4964469
2026/02/27 11:39:33.000+00,-25.3856583,-51.4964653
2026/02/27 11:39:37.000+00,-25.385683,-51.4964831
2026/02/27 11:39:42.000+00,-25.3857042,-51.4965042
2026/02/27 11:39:46.000+00,-25.385731,-51.4965249
2026/02/27 11:39:51.000+00,-25.3857374,-51.4965316
2026/02/27 11:39:55.000+00,-25.3857553,-51.4965628
2026/02/27 11:40:00.000+00,-25.3857548,-51.4965712
2026/02/27 11:40:05.000+00,-25.3857746,-51.4965712
2026/02/27 11:40:07.000+00,-25.385787,-51.4965787
2026/02/27 11:40:11.000+00,-25.3858134,-51.496596
2026/02/27 11:40:16.000+00,-25.3858455,-51.4966033
2026/02/27 11:40:20.000+00,-25.3858747,-51.4966142
2026/02/27 11:40:25.000+00,-25.3859116,-51.4966378
2026/02/27 11:40:29.000+00,-25.3859401,-51.4966554
2026/02/27 11:40:33.000+00,-25.3859713,-51.4966765
2026/02/27 11:40:37.000+00,-25.385995,-51.4966998
2026/02/27 11:40:42.000+00,-25.3860188,-51.496722
2026/02/27 11:40:44.000+00,-25.3860231,-51.496727
2026/02/27 11:40:48.000+00,-25.386047,-51.4967481
2026/02/27 11:40:53.000+00,-25.3860411,-51.4967554
2026/02/27 11:40:57.000+00,-25.3860463,-51.4967475
2026/02/27 11:41:02.000+00,-25.3860381,-51.496773
2026/02/27 11:41:07.000+00,-25.3860384,-51.4967681
2026/02/27 11:41:11.000+00,-25.3860105,-51.4967939
2026/02/27 11:41:15.000+00,-25.385987,-51.4967716
2026/02/27 11:41:20.000+00,-25.3859819,-51.4967655
2026/02/27 11:41:25.000+00,-25.3859566,-51.4967494
2026/02/27 11:41:29.000+00,-25.3859365,-51.4967441
2026/02/27 11:41:34.000+00,-25.3859056,-51.4967194
2026/02/27 11:41:37.000+00,-25.3858846,-51.4967042
2026/02/27 11:41:41.000+00,-25.3858675,-51.4966949
2026/02/27 11:41:46.000+00,-25.3858373,-51.4966767
2026/02/27 11:41:51.000+00,-25.3858045,-51.4966591
2026/02/27 11:41:55.000+00,-25.3857765,-51.4966368
2026/02/27 11:41:58.000+00,-25.38576,-51.4966272
2026/02/27 11:42:02.000+00,-25.3857358,-51.4966166
2026/02/27 11:42:06.000+00,-25.3857054,-51.4966087
2026/02/27 11:42:11.000+00,-25.3856869,-51.4965978
2026/02/27 11:42:16.000+00,-25.3856587,-51.4965772
2026/02/27 11:42:17.000+00,-25.385639,-51.4965588
2026/02/27 11:42:22.000+00,-25.3856044,-51.4965342
2026/02/27 11:42:26.000+00,-25.3855745,-51.4965177
